Sr.no,carat,depth,table,clarity
1,0.73,64.6,60.0,4
2,0.73,66.9,54.0,0
3,0.5,66.5,58.0,4
4,0.7,64.5,57.0,4
5,1.01,65.3,59.0,2
6,0.7,64.9,59.0,0
7,0.7,64.3,62.0,0
8,1.0,64.8,59.0,2
9,0.58,65.8,56.0,0
10,0.9,64.6,58.0,4
11,1.01,64.5,59.0,4
12,0.7,67.6,54.0,6
13,1.03,65.3,59.0,3
14,1.01,66.8,61.0,4
15,1.19,64.9,58.0,2
16,2.0,65.7,60.0,2
17,3.02,65.2,56.0,0
18,0.7,70.8,56.0,0
19,0.96,67.3,56.0,2
20,1.5,65.8,57.0,3
21,1.0,66.1,59.0,3
22,0.3,66.6,54.0,7
23,0.73,64.7,56.0,3
24,1.01,64.7,54.0,4
25,0.7,64.5,60.0,3
26,1.5,64.7,55.0,3
27,0.51,65.5,51.0,5
28,2.0,69.8,54.0,0
29,1.0,67.6,57.0,5
30,1.52,65.4,62.0,0
31,1.58,64.7,58.0,2
32,0.7,66.0,53.0,2
33,0.98,68.0,63.0,0
34,1.0,64.8,62.0,5
35,1.5,69.6,62.0,3
36,0.5,66.9,57.0,5
37,1.02,65.3,59.0,3
38,1.5,64.3,58.0,2
39,2.0,65.9,60.0,2
40,1.01,65.3,57.0,2
41,1.21,64.5,56.0,5
42,2.0,65.2,56.0,5
43,3.11,65.9,57.0,0
44,1.01,68.5,63.0,3
45,0.85,66.7,59.0,0
46,0.9,64.4,53.0,5
47,0.9,65.5,59.0,2
48,1.0,68.9,56.0,2
49,0.98,66.6,56.0,3
50,2.03,64.9,59.0,3
51,0.71,65.4,59.0,4
52,1.01,64.4,59.0,2
53,1.0,64.9,59.0,2
54,1.01,65.1,57.0,2
55,0.29,64.7,62.0,5
56,1.01,65.5,62.0,5
57,1.08,65.1,54.0,5
58,0.7,66.5,62.0,0
59,1.0,64.9,58.0,2
60,0.7,66.5,55.0,2
61,1.59,65.2,58.0,3
62,2.31,67.4,56.0,0
63,0.51,65.2,55.0,2
