time,title,url,visitCount,typedCount,transition
192953,Export Chrome History,https://chromewebstore.google.com/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,2,0,link
192952,Export Chrome History,https://chromewebstore.google.com/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,2,0,link
192948,export chrome history  Google Search,https://www.google.com/search?q=export+chrome+history&rlz=1C1YTUH_enIN1036IN1036&oq=Export+chrome&gs_lcrp=EgZjaHJvbWUqBwgBEAAYgAQyBwgAEAAYgAQyBwgBEAAYgAQyBggCEEUYOTIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABiABDIHCAkQABiABNIBCDU4NjRqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,link
192948,export chrome history  Google Search,https://www.google.com/search?q=export+chrome+history&rlz=1C1YTUH_enIN1036IN1036&oq=Export+chrome&gs_lcrp=EgZjaHJvbWUqBwgBEAAYgAQyBwgAEAAYgAQyBwgBEAAYgAQyBggCEEUYOTIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABiABDIHCAkQABiABNIBCDU4NjRqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,generated
192607,32 learn tamil  YouTube,https://www.youtube.com/results?search_query=learn+tamil,2,0,link
184312,32 Learn Tamil in 5 Days  Conversation for Beginners  YouTube,https://www.youtube.com/watch?v=bhF5iR1rufo,1,0,link
184249,32 learn tamil  YouTube,https://www.youtube.com/results?search_query=learn+tamil,2,0,link
184249,32 YouTube,https://www.youtube.com/,107,0,link
184242,32 YouTube,https://www.youtube.com/,107,0,link
184241,YouTube,https://www.youtube.com/?tab=r1,50,0,auto_bookmark
172444,Pandas  Removing Duplicates,https://www.w3schools.com/python/pandas/pandas_cleaning_duplicates.asp,1,0,link
172415,Pandas  Cleaning Data,https://www.w3schools.com/python/pandas/pandas_cleaning_wrong_data.asp,1,0,link
172400,Pandas  Cleaning Data of Wrong Format,https://www.w3schools.com/python/pandas/pandas_cleaning_wrong_format.asp,1,0,link
172347,Pandas  Cleaning Empty Cells,https://www.w3schools.com/python/pandas/pandas_cleaning_empty_cells.asp,1,0,link
172333,Pandas  Cleaning Data,https://www.w3schools.com/python/pandas/pandas_cleaning.asp,1,0,link
172330,data cleaning in python  Google Search,https://www.google.com/search?q=data+cleaning+in+python&rlz=1C1YTUH_enIN1036IN1036&oq=data+cleaning&gs_lcrp=EgZjaHJvbWUqBwgBEAAYgAQyDwgAEEUYORiDARixAxiABDIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABiABDIHCAkQABiABNIBCDQ5OTVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,link
