manufacturer,displ,year,cyl,trans,drv,cty,hwy,fl,class
audi,1.8,1999,4,autol5,f,18,29,p,compact
audi,1.8,1999,4,manualm5,f,21,29,p,compact
audi,2.0,2008,4,manualm6,f,20,31,p,compact
audi,2.0,2008,4,autoav,f,21,30,p,compact
audi,2.8,1999,6,autol5,f,16,26,p,compact
audi,2.8,1999,6,manualm5,f,18,26,p,compact
audi,3.1,2008,6,autoav,f,18,27,p,compact
audi,1.8,1999,4,manualm5,4,18,26,p,compact
audi,1.8,1999,4,autol5,4,16,25,p,compact
audi,2.0,2008,4,manualm6,4,20,28,p,compact
audi,2.0,2008,4,autos6,4,19,27,p,compact
audi,2.8,1999,6,autol5,4,15,25,p,compact
audi,2.8,1999,6,manualm5,4,17,25,p,compact
audi,3.1,2008,6,autos6,4,17,25,p,compact
audi,3.1,2008,6,manualm6,4,15,25,p,compact
audi,2.8,1999,6,autol5,4,15,24,p,midsize
audi,3.1,2008,6,autos6,4,17,25,p,midsize
audi,4.2,2008,8,autos6,4,16,23,p,midsize
chevrolet,5.3,2008,8,autol4,r,14,20,r,suv
chevrolet,5.3,2008,8,autol4,r,11,15,e,suv
chevrolet,5.3,2008,8,autol4,r,14,20,r,suv
chevrolet,5.7,1999,8,autol4,r,13,17,r,suv
chevrolet,6.0,2008,8,autol4,r,12,17,r,suv
chevrolet,5.7,1999,8,manualm6,r,16,26,p,2seater
chevrolet,5.7,1999,8,autol4,r,15,23,p,2seater
chevrolet,6.2,2008,8,manualm6,r,16,26,p,2seater
chevrolet,6.2,2008,8,autos6,r,15,25,p,2seater
chevrolet,7.0,2008,8,manualm6,r,15,24,p,2seater
chevrolet,5.3,2008,8,autol4,4,14,19,r,suv
chevrolet,5.3,2008,8,autol4,4,11,14,e,suv
chevrolet,5.7,1999,8,autol4,4,11,15,r,suv
chevrolet,6.5,1999,8,autol4,4,14,17,d,suv
chevrolet,2.4,1999,4,autol4,f,19,27,r,midsize
chevrolet,2.4,2008,4,autol4,f,22,30,r,midsize
chevrolet,3.1,1999,6,autol4,f,18,26,r,midsize
chevrolet,3.5,2008,6,autol4,f,18,29,r,midsize
chevrolet,3.6,2008,6,autos6,f,17,26,r,midsize
dodge,2.4,1999,4,autol3,f,18,24,r,minivan
dodge,3.0,1999,6,autol4,f,17,24,r,minivan
dodge,3.3,1999,6,autol4,f,16,22,r,minivan
dodge,3.3,1999,6,autol4,f,16,22,r,minivan
dodge,3.3,2008,6,autol4,f,17,24,r,minivan
dodge,3.3,2008,6,autol4,f,17,24,r,minivan
dodge,3.3,2008,6,autol4,f,11,17,e,minivan
dodge,3.8,1999,6,autol4,f,15,22,r,minivan
dodge,3.8,1999,6,autol4,f,15,21,r,minivan
