manufacturer,year,cyl,trans,drv,cty,hwy,fl,class
audi,1999,4,auto(l5),f,18,29,p,compact
audi,1999,4,manual(m5),f,21,29,p,compact
audi,2008,4,manual(m6),f,20,31,p,compact
audi,2008,4,auto(av),f,21,30,p,compact
audi,1999,6,auto(l5),f,16,26,p,compact
audi,1999,6,manual(m5),f,18,26,p,compact
audi,2008,6,auto(av),f,18,27,p,compact
audi,1999,4,manual(m5),4,18,26,p,compact
audi,1999,4,auto(l5),4,16,25,p,compact
audi,2008,4,manual(m6),4,20,28,p,compact
audi,2008,4,auto(s6),4,19,27,p,compact
audi,1999,6,auto(l5),4,15,25,p,compact
audi,1999,6,manual(m5),4,17,25,p,compact
audi,2008,6,auto(s6),4,17,25,p,compact
audi,2008,6,manual(m6),4,15,25,p,compact
audi,1999,6,auto(l5),4,15,24,p,midsize
audi,2008,6,auto(s6),4,17,25,p,midsize
audi,2008,8,auto(s6),4,16,23,p,midsize
chevrolet,2008,8,auto(l4),r,14,20,r,suv
chevrolet,2008,8,auto(l4),r,11,15,e,suv
chevrolet,2008,8,auto(l4),r,14,20,r,suv
chevrolet,1999,8,auto(l4),r,13,17,r,suv
chevrolet,2008,8,auto(l4),r,12,17,r,suv
chevrolet,1999,8,manual(m6),r,16,26,p,2seater
chevrolet,1999,8,auto(l4),r,15,23,p,2seater
chevrolet,2008,8,manual(m6),r,16,26,p,2seater
chevrolet,2008,8,auto(s6),r,15,25,p,2seater
chevrolet,2008,8,manual(m6),r,15,24,p,2seater
chevrolet,2008,8,auto(l4),4,14,19,r,suv
chevrolet,2008,8,auto(l4),4,11,14,e,suv
chevrolet,1999,8,auto(l4),4,11,15,r,suv
chevrolet,1999,8,auto(l4),4,14,17,d,suv
chevrolet,1999,4,auto(l4),f,19,27,r,midsize
chevrolet,2008,4,auto(l4),f,22,30,r,midsize
chevrolet,1999,6,auto(l4),f,18,26,r,midsize
chevrolet,2008,6,auto(l4),f,18,29,r,midsize
chevrolet,2008,6,auto(s6),f,17,26,r,midsize
dodge,1999,4,auto(l3),f,18,24,r,minivan
dodge,1999,6,auto(l4),f,17,24,r,minivan
dodge,1999,6,auto(l4),f,16,22,r,minivan
dodge,1999,6,auto(l4),f,16,22,r,minivan
dodge,2008,6,auto(l4),f,17,24,r,minivan
dodge,2008,6,auto(l4),f,17,24,r,minivan
dodge,2008,6,auto(l4),f,11,17,e,minivan
dodge,1999,6,auto(l4),f,15,22,r,minivan
dodge,1999,6,auto(l4),f,15,21,r,minivan
dodge,2008,6,auto(l6),f,16,23,r,minivan
dodge,2008,6,auto(l6),f,16,23,r,minivan
dodge,2008,6,manual(m6),4,15,19,r,pickup
dodge,2008,6,auto(l4),4,14,18,r,pickup
dodge,1999,6,auto(l4),4,13,17,r,pickup
dodge,1999,6,manual(m5),4,14,17,r,pickup
dodge,2008,8,auto(l5),4,14,19,r,pickup
dodge,2008,8,auto(l5),4,14,19,r,pickup
dodge,2008,8,auto(l5),4,9,12,e,pickup
dodge,1999,8,manual(m5),4,11,17,r,pickup
dodge,1999,8,auto(l4),4,11,15,r,pickup
